,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
303,1599984000000,call,BTC-13SEP20-11250-C,11250.0,10436.45,SYN.BTC-13SEP20,1599952105623,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,0.2,0.0001,0.015,1e-08,52.85,0.0005,0.0,10435.74,"{'vega': 6e-05, 'theta': -0.00015, 'rho': 0.0, 'gamma': 0.0, 'delta': 0.0}",10435.74,21942144934,[],0.0,0.0,0.0,0.0005,30.0,"[[0.0005, 30.0], [0.001, 45.5], [0.0015, 30.5]]",126.27
304,1616745600000,put,BTC-26MAR21-36000-P,36000.0,10737.63,BTC-26MAR21,1599952105620,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,2.41,2.2,2.261,2.5115,2.37244148,94.88,2.388,0.0,10435.74,"{'vega': 11.71599, 'theta': -2.85966, 'rho': -188.226, 'gamma': 2e-05, 'delta': -0.91939}",10435.74,21945551615,"[[2.349, 0.1], [1.5, 0.1]]",0.0,2.349,0.1,2.4035,0.1,"[[2.4035, 0.1]]",116.46
305,1599984000000,put,BTC-13SEP20-10625-P,10625.0,10436.48,SYN.BTC-13SEP20,1599952109647,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.03,0.0,0.0001,0.0515,0.01928126,52.4,,0.0,10435.7,"{'vega': 0.75087, 'theta': -19.67302, 'rho': -0.09253, 'gamma': 0.0013, 'delta': -0.85668}",10435.7,21945438183,"[[0.0005, 0.2]]",0.0,0.0005,0.2,0.0225,1.1,"[[0.0225, 1.1], [0.026, 1.2]]",87.72
306,1608883200000,call,BTC-25DEC20-6000-C,6000.0,10600.87,BTC-25DEC20,1599952110657,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.44,36.4,0.4235,0.482,0.44927394,83.03,0.444,0.0,10435.66,"{'vega': 7.20815, 'theta': -2.89504, 'rho': 14.56314, 'gamma': 3e-05, 'delta': 0.93435}",10435.66,21945551141,"[[0.4355, 7.0], [0.435, 0.1]]",51.93,0.4355,7.0,0.4675,7.0,"[[0.4675, 7.0], [0.481, 0.1]]",105.57
307,1600070400000,call,BTC-14SEP20-10125-C,10125.0,10438.42,SYN.BTC-14SEP20,1599952111664,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,,0.0,0.0045,0.0625,0.03253846,49.83,,0.0,10435.7,"{'vega': 1.52455, 'theta': -27.75024, 'rho': 0.31795, 'gamma': 0.00075, 'delta': 0.84479}",10435.7,21942614583,"[[0.0005, 0.2]]",0.0,0.0005,0.2,0.0395,1.1,"[[0.0395, 1.1], [0.0435, 1.2]]",88.07
308,1599984000000,call,BTC-13SEP20-9375-C,9375.0,10436.4,SYN.BTC-13SEP20,1599952111665,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.09,0.0,0.074,0.1275,0.10170549,50.57,,0.0,10435.7,"{'vega': 0.0, 'theta': 0.0, 'rho': 0.09471, 'gamma': 0.0, 'delta': 1.0}",10435.7,21942619717,"[[0.0755, 4.0], [0.0005, 0.2]]",0.0,0.0755,4.0,0.12,4.0,"[[0.12, 4.0]]",455.93
309,1601020800000,call,BTC-25SEP20-9000-C,9000.0,10460.67,BTC-25SEP20,1599952112669,"{'volume': 71.0, 'price_change': 0.0, 'low': 0.1495, 'high': 0.1495}",open,0.14,899.2,0.1165,0.182,0.14787444,73.06,0.1495,0.0,10435.75,"{'vega': 3.80429, 'theta': -11.23513, 'rho': 2.60269, 'gamma': 0.00014, 'delta': 0.8821}",10435.75,21945638022,"[[0.1425, 5.0], [0.1405, 0.1], [0.1255, 1.0], [0.0885, 0.5], [0.01, 10.0]]",55.1,0.1425,5.0,0.151,5.0,"[[0.151, 5.0], [0.165, 0.1], [0.23, 0.1], [0.24, 0.1], [0.25, 1.1], [0.268, 5.0], [0.45, 3.6]]",81.12
310,1600416000000,put,BTC-18SEP20-15000-P,15000.0,10446.54,SYN.BTC-18SEP20,1599952112671,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.45,0.0,0.3945,0.481,0.43590969,91.66,,0.0,10435.75,"{'vega': 0.03033, 'theta': -0.25895, 'rho': -2.20531, 'gamma': 0.0, 'delta': -0.99931}",10435.75,21935556395,[],0.0,0.0,0.0,0.0,0.0,[],0.0
311,1600416000000,put,BTC-18SEP20-9750-P,9750.0,10446.59,SYN.BTC-18SEP20,1599952113676,"{'volume': 131.5, 'price_change': -29.4118, 'low': 0.005, 'high': 0.009}",open,0.01,315.8,0.0001,0.028,0.00622442,59.22,0.006,0.0,10435.69,"{'vega': 3.07582, 'theta': -16.96473, 'rho': -0.25458, 'gamma': 0.00032, 'delta': -0.15946}",10435.69,21945628421,"[[0.0055, 30.0], [0.005, 30.3], [0.0045, 43.0], [0.002, 2.0], [0.0015, 0.3], [0.001, 1.0], [0.0005, 0.2]]",56.71,0.0055,30.0,0.007,29.9,"[[0.007, 29.9], [0.0075, 43.1], [0.008, 30.0], [0.05, 0.2], [0.07, 0.3], [0.2, 1.0]]",61.81
312,1616745600000,put,BTC-26MAR21-12000-P,12000.0,10737.82,BTC-26MAR21,1599952113854,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.3,161.9,0.2265,0.377,0.29313488,75.5,0.312,0.0,10435.69,"{'vega': 31.17529, 'theta': -6.05521, 'rho': -43.66991, 'gamma': 7e-05, 'delta': -0.47059}",10435.69,21945638337,"[[0.2895, 0.5], [0.201, 0.1]]",74.26,0.2895,0.5,0.2985,7.4,"[[0.2985, 7.4], [0.299, 1.5], [0.3, 0.5], [0.374, 0.1], [0.785, 0.1]]",77.36
